Product,SKU,Inventory Item ID,Quantity
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110HF-8ss-30020,gid://shopify/InventoryItem/46948809113669,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110HF-8ss-30050,gid://shopify/InventoryItem/46948809146437,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110HF-8ss-30080,gid://shopify/InventoryItem/46948809179205,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 8ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110HF-8ss-30340,gid://shopify/InventoryItem/46948809211973,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110HF-10ss-00030,gid://shopify/InventoryItem/46949723111493,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (TOPAZ)",11110HF-10ss-10070,gid://shopify/InventoryItem/46949723144261,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110HF-10ss-10220,gid://shopify/InventoryItem/46949723177029,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110HF-10ss-20020,gid://shopify/InventoryItem/46949723209797,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (AMETHYST)",11110HF-10ss-20050,gid://shopify/InventoryItem/46949723242565,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (JET BLACK)",11110HF-10ss-23980,gid://shopify/InventoryItem/46949723275333,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110HF-10ss-30020,gid://shopify/InventoryItem/46949723308101,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110HF-10ss-30050,gid://shopify/InventoryItem/46949723340869,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110HF-10ss-30080,gid://shopify/InventoryItem/46949723373637,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 10ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110HF-10ss-30340,gid://shopify/InventoryItem/46949723406405,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110HF-12ss-00030,gid://shopify/InventoryItem/46952170127429,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (TOPAZ)",11110HF-12ss-10070,gid://shopify/InventoryItem/46952170160197,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110HF-12ss-10220,gid://shopify/InventoryItem/46952170192965,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110HF-12ss-20020,gid://shopify/InventoryItem/46952170225733,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (AMETHYST)",11110HF-12ss-20050,gid://shopify/InventoryItem/46952170258501,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (JET BLACK)",11110HF-12ss-23980,gid://shopify/InventoryItem/46952170291269,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (LIGHT SAPPHIRE)",11110HF-12ss-30020,gid://shopify/InventoryItem/46952170324037,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (SAPPHIRE)",11110HF-12ss-30050,gid://shopify/InventoryItem/46952170356805,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (DARK SAPPHIRE)",11110HF-12ss-30080,gid://shopify/InventoryItem/46952170389573,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 12ss – 10 Gross (1,440 pcs) (MONTANA SAPPHIRE)",11110HF-12ss-30340,gid://shopify/InventoryItem/46952170422341,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (CRYSTAL)",11110HF-16ss-00030,gid://shopify/InventoryItem/46952174485573,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (TOPAZ)",11110HF-16ss-10070,gid://shopify/InventoryItem/46952174518341,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (SMOKE TOPAZ)",11110HF-16ss-10220,gid://shopify/InventoryItem/46952174551109,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (LIGHT AMETHYST)",11110HF-16ss-20020,gid://shopify/InventoryItem/46952174583877,15
"Preciosa & Jablonex Hot Fix Extra 2-Cut Glass Chaton Rose Flatback Rhinestones 16ss – 10 Gross (1,440 pcs) (AMETHYST)",11110HF-16ss-20050,gid://shopify/InventoryItem/46952174616645,15
